r,ncas,nelecas,conv,e_cas_0,e_cas_1,e_cas_2,e_cas_3,s2_0,s2_1,s2_2,s2_3,w_0,w_1,w_2,w_3,dip_0,dip_1,wall,cpu,note
1.7,7,12,True,-536.1021066972896,-535.9742354486359,-535.9083471043549,-535.7770253864396,1.9999999999999998,1.9999999999999998,2.0000000000000018,1.9999999999999991,0.8841493512466051,0.7787095168220306,0.5968703826913279,0.5725830296120784,2.004917662166086,2.1868547988151628,32.44280171394348,1029.998225955,
1.8,6,10,True,-536.1286403389913,-536.0292016090657,-535.971537565085,-535.8389049535824,1.9999999999999998,1.9999999999999996,1.9999999999999987,2.0000000000000004,0.8178304026674297,0.7070301532103731,0.5113605293435625,0.46118027679595747,2.066548584520317,2.052146930158953,19.460930109024048,618.6251494329999,
1.9,6,10,True,-536.147507527428,-536.0708539088727,-536.0232715111224,-535.8859915823098,1.9999999999999996,1.9999999999999996,2.0000000000000004,2.0,0.7360910098923285,0.6245052906249811,0.6319105017526252,0.6538219082408654,2.0857807908507833,1.9613345658992463,13.239936113357544,420.5450698430002,
2.0,6,10,True,-536.1603831864151,-536.1018752733609,-536.0637963493548,-535.9214781017225,1.9999999999999991,2.000000000000001,1.9999999999999993,2.0000000000000004,0.6425982090652812,0.5374351186247518,0.7320400273594809,0.7601133400038574,2.0779552974778865,1.903858954371312,14.396412134170532,457.2045769870001,
2.1,6,10,True,-536.1689916001145,-536.1247409950379,-536.0947631690266,-535.9480735933233,2.0,1.9999999999999991,1.999999999999999,1.9999999999999993,0.5456573585535608,0.4514270165698812,0.8108039541306838,0.8353080495683509,2.0510031393405397,1.8683378406722349,13.158473014831543,418.2121888470001,
2.2,6,10,True,-536.1746975325227,-536.1414601895457,-536.1180728054036,-535.9679262452449,2.000000000000001,1.9999999999999991,2.0,2.0,0.45489379359949556,0.3726902201512258,0.8648524657252957,0.8890084772533792,2.013907986826773,1.846612089883143,13.897190809249878,441.4210957649998,
2.3,6,10,True,-536.1784789247827,-536.1536049708192,-536.1354462704473,-535.9826938233427,1.9999999999999998,1.9999999999999998,1.9999999999999996,2.0000000000000004,0.3852007392128366,0.3528514805674889,0.8817085205454191,0.9258323735237098,1.9748916404380803,1.8336064399040422,12.799458026885986,407.312643062,
2.4000000000000004,6,10,True,-536.1809930846761,-536.1623773279651,-536.1483058145152,-535.993642199172,1.9999999999999993,2.0,2.0,1.9999999999999987,0.40992615465963667,0.39081209969236697,0.4757095678935832,0.9503195787481957,1.939498727845314,1.8261839337911783,12.391674757003784,394.99326306199964,
2.5,6,10,True,-536.1826668459998,-536.1686823786517,-536.1577755714296,-536.001733075401,2.0,2.000000000000001,1.9999999999999993,2.0000000000000004,0.42383113960208085,0.4212895192802357,0.9538125644871929,0.9663034596282184,1.9103288957779068,1.8223982587804233,13.72867465019226,437.17356903200016,
2.6,6,10,True,-536.1837745616212,-536.1731937673338,-536.1647224128307,-536.0076940052683,1.9999999999999993,2.0000000000000004,2.0000000000000004,1.9999999999999998,0.43038651176686255,0.4458817492119251,0.9707230479664795,0.9767730186911772,1.8877925712350079,1.820959189926658,13.422005653381348,427.57135850899977,
2.7,6,10,True,-536.1844943291769,-536.1764081367528,-536.1698035731721,-536.012073157325,2.000000000000001,2.0,1.9999999999999991,2.000000000000001,0.43237957922387665,0.46605938375911227,0.9739522718785378,0.9836976949155467,1.8711127619075194,1.8209807975890098,15.153841018676758,481.8650388269998,
2.8000000000000003,6,10,True,-536.1849447112022,-536.178688757765,-536.1735117001157,-536.0152811301909,1.9999999999999998,2.0000000000000004,1.9999999999999993,2.0000000000000004,0.43161487461982434,0.4829383849958054,0.9733838503947175,0.9883833346644637,1.859120250766687,1.8218488014035823,12.67303729057312,403.24830071199995,
2.9000000000000004,6,10,True,-536.1852067449657,-536.1802996019073,-536.1762130500708,-536.0176249014282,2.0,2.000000000000001,1.9999999999999998,1.9999999999999998,0.4292552807498112,0.4971490107947725,0.9706821343475959,0.9916038774850024,1.8506909604756465,1.8231525229217738,12.94052791595459,411.941763711,
3.0,6,10,True,-536.1853376642184,-536.1814319088824,-536.178178693086,-536.0193331012279,2.000000000000001,2.0000000000000004,2.0,2.0000000000000013,0.42598969640968104,0.5090461160244837,0.9665590784534134,0.9938470358310525,1.8448885422638053,1.8246347185077887,13.084951639175415,416.17271906099995,
3.1000000000000005,6,10,True,-536.1853787916605,-536.1822239019649,-536.1796086180802,-536.020575819985,1.9999999999999991,1.9999999999999998,2.0000000000000004,2.0000000000000004,0.42384881462165314,0.5188805532237448,0.9614511871681853,0.9954344728413302,1.8410014988132064,1.826151960051962,13.392245054244995,426.15658502800034,
3.2,6,10,True,-536.1853602430378,-536.1827753091897,-536.180649861123,-536.0214791872262,2.0000000000000013,2.0000000000000018,2.0,1.9999999999999996,0.4396733719204196,0.5268919554328007,0.9556857626481835,0.9965808418416091,1.8384697377676098,1.8275966019207004,13.324659585952759,424.19342539900026,
