r,space,conv_t,e_cas_s,e_cas_t,e_sc_s,e_sc_t,e_fic_s,e_fic_t,de_cas,de_sc,de_fic,same_state_ha,prism_ref_dev_ha,wall,cpu,t_orbitals,t_copies,t_casci,t_fic,t_sc
1.6391,"(12,7)",True,-536.2229488604022,-536.0813362694821,-536.7303970685953,-536.5903854176236,-536.734857223495,-536.5954236936734,3.853474908821663,3.8099111135294135,3.79417963561826,2.7262103685643524e-10,0.0,46.34717607498169,1471.131110475,34.0749351978302,3.5144312381744385,2.684907913208008,3.911067485809326,2.1618058681488037
1.6891,"(12,7)",True,-536.2272421077721,-536.0986522180299,-536.7314374438129,-536.6028078713982,-536.7355799115988,-536.6080069067722,3.499109157104443,3.5001889776310104,3.471438308899872,7.673861546209082e-11,0.0,38.62694048881531,1225.0846659180002,26.883750438690186,2.48240327835083,3.0827391147613525,3.752835988998413,2.42512583732605
1.7391,"(12,7)",True,-536.2292593059466,-536.113587089005,-536.729853832906,-536.61299445339,-536.7338100673312,-536.6181516453053,3.1476013731265495,3.179905712475619,3.1472259943494665,5.684341886080801e-13,0.0,43.448386430740356,1377.3191863769998,32.41662096977234,2.533663272857666,2.8353431224823,3.4950954914093018,2.1676273345947266
