r,e_ccsd,e_ccsdt,t1_s,conv,w_0,w_1,w_2,wall,cpu
1.7891000000000001,-536.7778774384857,-536.7979333272798,0.00819793260518225,True,0.1021123214809759,0.13867216665765814,0.21157467803009755,18.10245990753174,576.524033095
1.8891,-536.7683790889829,-536.7898216373144,0.009060730962656046,True,0.0807835674705056,0.11517547340496857,0.16987311642014974,19.088526487350464,608.9987547329999
1.9891,-536.7561591113332,-536.7792605226418,0.010181540004232803,True,0.06284068514242067,0.09417609823502056,0.13148364385830452,18.9382746219635,604.081707883
2.0891,-536.7429359376372,-536.7680284599771,0.011588154202885665,True,0.048228047466870594,0.07543520249826892,0.09880740321583872,18.15105700492859,579.1115687229999
2.1891,-536.7298105154454,-536.7572797146605,0.013285313661261997,True,0.036583386372620874,0.05777648028325712,0.0733657014478158,19.977245569229126,636.245902573
2.2891000000000004,-536.7174558795787,-536.7477257885706,0.0152478161599626,True,0.027456640659700406,0.039674183455842456,0.0557013083803641,21.668469429016113,690.0917406949998
2.3891,-536.7062456033099,-536.7397567832185,0.01742241884211004,True,0.02040516580565501,0.022419385743879916,0.04355199823999178,18.311450004577637,584.0849191449997
2.4891,-536.6963445948443,-536.7335271622204,0.019737089854299797,True,0.00753251516728983,0.015032280116892737,0.03447794111688829,24.434956550598145,779.047875411
2.5891,-536.6877763851942,-536.7290211844696,0.022111314329843777,True,-0.004832781711589252,0.01099496836682208,0.027473979010977624,24.149666786193848,770.6634553709991
2.6891,-536.6804751547444,-536.7261068082636,0.02446506199477036,True,-0.014955420554204152,0.008006045950023986,0.022047307738928667,25.06872582435608,798.7806535030004
2.7891000000000004,-536.6743251708598,-536.7245806246481,0.026729983197886,True,-0.02318353729995286,0.005829222799657139,0.01786280726554475,25.32525134086609,808.0144517939998
