r,ncas,nelecas,conv,e_cas_0,e_cas_1,e_cas_2,e_cas_3,e_nev_0,e_nev_1,e_nev_2,e_nev_3,s2_0,s2_1,s2_2,s2_3,w_0,w_1,w_2,w_3,dip_0,dip_1,wall,cpu,note
3.0,6,10,True,-536.1853376642185,-536.1814319088826,-536.1781786930862,-536.0193331012281,-536.6448202336912,-536.6404983620408,-536.6372383231238,-536.4879479099305,1.999999999999999,2.0,2.0000000000000004,1.9999999999999991,0.4259896964083641,0.5090461160227168,0.9665590784539755,0.993847035831062,4.402756877549002,4.280307409817093,18.316898107528687,580.186392307,
3.025,6,10,True,-536.1853550166759,-536.181657346859,-536.1785798626396,-536.0196818508799,-536.6447098294497,-536.6406256434277,-536.6375690437131,-536.4881843901173,1.9999999999999998,1.999999999999999,1.9999999999999996,1.9999999999999987,0.42507609871725577,0.5116917946986324,0.9653601708336752,0.9942960223870944,4.477314609697541,4.358153971534614,17.20325541496277,547.15490293,
3.05,6,10,True,-536.1853673373347,-536.1818634346396,-536.1789503563763,-536.0200039083551,-536.6446045263565,-536.6407379006996,-536.637871390863,-536.4884025638961,2.0000000000000004,2.000000000000001,1.9999999999999996,2.0,0.4241347686426595,0.5142111169237966,0.9641053262137499,0.9947076933464469,4.552377981159263,4.435947898855542,18.08236050605774,574.632670754,
3.075,6,10,True,-536.1853751210714,-536.1820518042161,-536.1792925553979,-536.0203012445318,-536.6445040745105,-536.6408384638678,-536.6381486590484,-536.488602750018,2.0000000000000004,2.0000000000000004,1.9999999999999998,1.9999999999999991,0.42318030749358904,0.5165971197881134,0.9628014792043457,0.9950849617023599,4.627903715375085,4.513692616059015,16.884714126586914,536.382682467,
3.1,6,10,True,-536.1853787915202,-536.1822239018354,-536.179608617942,-536.0205758198556,-536.644407540425,-536.6409284351936,-536.6384030452543,-536.4887869126939,2.0,1.9999999999999998,1.9999999999999998,2.000000000000001,0.4238488141222863,0.5188805525566978,0.9614511871460076,0.9954344728418786,4.7034188651122495,4.590972513674921,18.18886709213257,577.0869469029999,
3.125,6,10,True,-536.1853787723003,-536.1823810976096,-536.1799005775273,-536.0208293479745,-536.644314408385,-536.6410084363088,-536.6386363358048,-536.488957799836,2.0000000000000004,1.9999999999999993,1.9999999999999998,1.9999999999999991,0.42805368866753163,0.5210488625887354,0.9600600212555048,0.9957564521687952,4.778983286443494,4.667884373199197,17.868661642074585,568.04580201,
3.15,6,10,True,-536.1853754446198,-536.1825246445388,-536.1801703058644,-536.0210634409757,-536.6442243426925,-536.6410791575681,-536.6388501096935,-536.4891154103225,1.9999999999999996,2.0000000000000004,2.0000000000000004,2.0,0.432092189587348,0.52310486682508,0.9586325084073469,0.9960533882231877,4.8544786626995595,4.744350728679157,19.177066564559937,609.8540800250003,
3.175,6,10,True,-536.1853691601124,-536.1826556948222,-536.1804195336248,-536.0212795936947,-536.6441370539793,-536.6411413189551,-536.6390455313256,-536.4892591320714,2.0000000000000004,1.9999999999999991,1.9999999999999998,2.0,0.4359649662657651,0.5250515289805257,0.9571729879709041,0.9963275458726814,4.929795601684382,4.820300314295627,19.761523723602295,626.8148693410003,
3.2,6,10,True,-536.1853602430375,-536.1827753091893,-536.1806498611227,-536.0214791872259,-536.6440521736586,-536.6411954410424,-536.6392212399554,-536.4893900226372,1.9999999999999998,1.9999999999999998,2.0000000000000004,2.0000000000000004,0.43967337191893757,0.5268919554300782,0.955685762648937,0.9965808418416076,5.004831468545623,4.8956661711111105,18.7572660446167,596.8206595199999,
3.225,6,10,True,-536.1853489910822,-536.1828844623151,-536.1808627656789,-536.021663502308,-536.6439691162359,-536.641241363347,-536.6393852067429,-536.4895094322026,1.9999999999999993,2.0000000000000004,2.0,2.0000000000000004,0.44321974750702436,0.5286295956873397,0.954175398837119,0.9968150412199344,5.079488442720478,4.97038379093992,18.702303409576416,593.7759293059999,
3.25,6,10,True,-536.1853356768713,-536.1829840492401,-536.181059610993,-536.0218337227554,-536.6438869789324,-536.6412764008974,-536.6395443389476,-536.4896184884749,2.000000000000001,1.9999999999999982,2.0,2.000000000000001,0.44660464146271955,0.5302666902306792,0.9526446406556686,0.9970317449572329,5.153695469900107,5.04441265931085,18.18277621269226,577.1688287459992,
3.275,6,10,True,-536.1853205504485,-536.183074892287,-536.1812416560094,-536.021990943366,-536.6438055438186,-536.6413050910852,-536.639683830293,-536.4897181289081,2.0000000000000004,2.000000000000001,2.0,2.0000000000000018,0.44983109399272053,0.5318066745725328,0.9510977483058306,0.997232407545329,5.2273737219723335,5.1177027115222105,19.034219980239868,604.5887669720005,
3.3,6,10,True,-536.1853038404424,-536.1831577462273,-536.1814100620841,-536.0221361757003,-536.6437288406746,-536.6413462219584,-536.6398112691829,-536.489809161954,1.9999999999999996,2.0,2.0,1.9999999999999991,0.4529018278960409,0.5332526687260258,0.9495382743564419,0.9974183542802408,5.300457765526862,5.190215095011173,18.259428024291992,580.1614495489994,
3.325,6,10,True,-536.1852857555587,-536.1832333034349,-536.1815659003487,-536.0222703537916,-536.6436596187929,-536.6413780601688,-536.6399280353806,-536.4898922994022,2.0,1.9999999999999991,1.9999999999999996,2.0000000000000013,0.45581988284956126,0.5346078233624968,0.9479696181503329,0.997590799471317,5.372890211398599,5.261917051876078,18.062308073043823,572.3271591440007,
3.35,6,10,True,-536.1852664857118,-536.1833021986356,-536.1817101579996,-536.022394338646,-536.6435963779024,-536.6414022058815,-536.6400350590451,-536.4899681673327,1.9999999999999993,2.000000000000001,2.0000000000000004,2.000000000000001,0.4585885583432246,0.5358752814616465,0.9463950623901378,0.9977508925601286,5.444621073626379,5.332781459634638,18.39327120780945,583.7374787190001,
3.375,6,10,True,-536.1852461753253,-536.183364994265,-536.1818437189321,-536.0225089989368,-536.6435376476717,-536.6414208979633,-536.6401331309015,-536.4900373038419,2.0000000000000004,1.9999999999999982,2.0,1.9999999999999991,0.4612175708276576,0.5370645028241235,0.9448166336917204,0.9978997686266925,5.515490012453687,5.402672774645023,19.045503616333008,605.5426123920006,
