==============================================================================
== HOX Phase 2 -- 3D CCSD(T) + EOM-CCSD raster for HOBr
==============================================================================
  r(O-Br) 1.55-2.45 A, 19 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2470 geometries, cc-pvtz-dk, 5 EOM roots
  estimate 329 CPU-hours = 11.0 h on 30 workers at 480 s/point
  40 already in /home/johan/projects/strix-halo-photodissociation-dynamics/HOX/HOBr/data/hobr_pes_raster.csv, 2430 to run

  800/2430  ok=800 warn=0 bad=0  250 pts/h  eta 392.0 min
  810/2430  ok=810 warn=0 bad=0  249 pts/h  eta 390.9 min
  820/2430  ok=820 warn=0 bad=0  249 pts/h  eta 388.4 min
  830/2430  ok=830 warn=0 bad=0  251 pts/h  eta 382.8 min
  840/2430  ok=840 warn=0 bad=0  250 pts/h  eta 382.1 min
  850/2430  ok=850 warn=0 bad=0  249 pts/h  eta 380.1 min
  860/2430  ok=860 warn=0 bad=0  250 pts/h  eta 376.8 min
  870/2430  ok=870 warn=0 bad=0  250 pts/h  eta 374.4 min
  880/2430  ok=880 warn=0 bad=0  249 pts/h  eta 373.6 min
  890/2430  ok=890 warn=0 bad=0  250 pts/h  eta 370.1 min
  900/2430  ok=900 warn=0 bad=0  250 pts/h  eta 367.0 min
  910/2430  ok=910 warn=0 bad=0  250 pts/h  eta 364.5 min
  920/2430  ok=920 warn=0 bad=0  250 pts/h  eta 362.2 min
  930/2430  ok=930 warn=0 bad=0  252 pts/h  eta 357.8 min
  940/2430  ok=940 warn=0 bad=0  251 pts/h  eta 356.2 min
  950/2430  ok=950 warn=0 bad=0  251 pts/h  eta 354.0 min
  960/2430  ok=960 warn=0 bad=0  252 pts/h  eta 349.8 min
  970/2430  ok=970 warn=0 bad=0  252 pts/h  eta 347.2 min
  980/2430  ok=980 warn=0 bad=0  252 pts/h  eta 345.5 min
  990/2430  ok=990 warn=0 bad=0  252 pts/h  eta 342.5 min
  1000/2430  ok=1000 warn=0 bad=0  252 pts/h  eta 340.9 min
  1010/2430  ok=1010 warn=0 bad=0  253 pts/h  eta 337.4 min
  1020/2430  ok=1020 warn=0 bad=0  252 pts/h  eta 335.7 min
  1030/2430  ok=1030 warn=0 bad=0  252 pts/h  eta 333.9 min
  1040/2430  ok=1040 warn=0 bad=0  251 pts/h  eta 331.9 min
  1050/2430  ok=1050 warn=0 bad=0  252 pts/h  eta 328.7 min
  1060/2430  ok=1060 warn=0 bad=0  252 pts/h  eta 326.6 min
  1070/2430  ok=1070 warn=0 bad=0  252 pts/h  eta 323.6 min
  1080/2430  ok=1080 warn=0 bad=0  253 pts/h  eta 320.8 min
  1090/2430  ok=1090 warn=0 bad=0  253 pts/h  eta 318.3 min
  1100/2430  ok=1100 warn=0 bad=0  253 pts/h  eta 315.6 min
  1110/2430  ok=1110 warn=0 bad=0  253 pts/h  eta 312.8 min
  1120/2430  ok=1120 warn=0 bad=0  254 pts/h  eta 309.9 min
  1130/2430  ok=1130 warn=0 bad=0  253 pts/h  eta 308.1 min
  1140/2430  ok=1140 warn=0 bad=0  253 pts/h  eta 305.8 min
  1150/2430  ok=1150 warn=0 bad=0  254 pts/h  eta 302.5 min
  1160/2430  ok=1160 warn=0 bad=0  253 pts/h  eta 300.9 min
  1170/2430  ok=1170 warn=0 bad=0  254 pts/h  eta 297.7 min
  1180/2430  ok=1180 warn=0 bad=0  253 pts/h  eta 296.5 min
  1190/2430  ok=1190 warn=0 bad=0  253 pts/h  eta 293.7 min
  1200/2430  ok=1200 warn=0 bad=0  253 pts/h  eta 291.7 min
  1210/2430  ok=1210 warn=0 bad=0  253 pts/h  eta 289.0 min
  1220/2430  ok=1220 warn=0 bad=0  254 pts/h  eta 286.2 min
  1230/2430  ok=1230 warn=0 bad=0  253 pts/h  eta 284.3 min
  1240/2430  ok=1240 warn=0 bad=0  254 pts/h  eta 281.3 min
  1250/2430  ok=1250 warn=0 bad=0  255 pts/h  eta 278.0 min
  1260/2430  ok=1260 warn=0 bad=0  254 pts/h  eta 276.7 min
  1270/2430  ok=1270 warn=0 bad=0  254 pts/h  eta 274.1 min
  1280/2430  ok=1280 warn=0 bad=0  255 pts/h  eta 270.7 min
  1290/2430  ok=1290 warn=0 bad=0  254 pts/h  eta 269.4 min
  1300/2430  ok=1300 warn=0 bad=0  254 pts/h  eta 266.8 min
  1310/2430  ok=1310 warn=0 bad=0  255 pts/h  eta 263.9 min
  1320/2430  ok=1320 warn=0 bad=0  254 pts/h  eta 262.1 min
  1330/2430  ok=1330 warn=0 bad=0  254 pts/h  eta 259.9 min
  1340/2430  ok=1340 warn=0 bad=0  255 pts/h  eta 256.5 min
  1350/2430  ok=1350 warn=0 bad=0  255 pts/h  eta 254.0 min
  1360/2430  ok=1360 warn=0 bad=0  254 pts/h  eta 252.8 min
  1370/2430  ok=1370 warn=0 bad=0  255 pts/h  eta 249.2 min
  1380/2430  ok=1380 warn=0 bad=0  255 pts/h  eta 247.3 min
  1390/2430  ok=1390 warn=0 bad=0  254 pts/h  eta 245.6 min
  1400/2430  ok=1400 warn=0 bad=0  255 pts/h  eta 242.3 min
