basis    aug-cc-pVTZ
r grid   22 points, 0.7-3.4 A (morse)
          0.70- 0.93 A:   6 pts, step 0.0437 A
          0.93- 1.31 A:   5 pts, step 0.0710 A
          1.31- 2.39 A:   5 pts, step 0.1742 A
          2.39- 3.40 A:   6 pts, step 0.1800 A
theta    13 points, 55.0-175.0 deg
points   3289 computed / 6292 full grid (52%, r1>=r2 symmetry)
resume   194 already in pes_grid.csv, 3095 remaining
estimate 7.7 core-hours => 0.26 h on 30 procs at 9 s/point

  2175/3095  ok=2074 bad=101  5195 pts/h  eta 10.6 min
  2200/3095  ok=2099 bad=101  5204 pts/h  eta 10.3 min
  2225/3095  ok=2124 bad=101  5211 pts/h  eta 10.0 min
  2250/3095  ok=2149 bad=101  5222 pts/h  eta 9.7 min
  2275/3095  ok=2174 bad=101  5236 pts/h  eta 9.4 min
  2300/3095  ok=2199 bad=101  5231 pts/h  eta 9.1 min
  2325/3095  ok=2220 bad=105  5211 pts/h  eta 8.9 min
  2350/3095  ok=2242 bad=108  5097 pts/h  eta 8.8 min
  2375/3095  ok=2266 bad=109  5050 pts/h  eta 8.6 min
  2400/3095  ok=2291 bad=109  5041 pts/h  eta 8.3 min
  2425/3095  ok=2316 bad=109  5043 pts/h  eta 8.0 min
  2450/3095  ok=2341 bad=109  5049 pts/h  eta 7.7 min
  2475/3095  ok=2366 bad=109  5067 pts/h  eta 7.3 min
  2500/3095  ok=2391 bad=109  5083 pts/h  eta 7.0 min
  2525/3095  ok=2416 bad=109  5090 pts/h  eta 6.7 min
  2550/3095  ok=2441 bad=109  5098 pts/h  eta 6.4 min
  2575/3095  ok=2465 bad=110  5089 pts/h  eta 6.1 min
  2600/3095  ok=2487 bad=113  4965 pts/h  eta 6.0 min
  2625/3095  ok=2512 bad=113  4906 pts/h  eta 5.7 min
  2650/3095  ok=2537 bad=113  4885 pts/h  eta 5.5 min
  2675/3095  ok=2562 bad=113  4881 pts/h  eta 5.2 min
  2700/3095  ok=2587 bad=113  4879 pts/h  eta 4.9 min
  2725/3095  ok=2612 bad=113  4891 pts/h  eta 4.5 min
  2750/3095  ok=2637 bad=113  4893 pts/h  eta 4.2 min
  2775/3095  ok=2662 bad=113  4901 pts/h  eta 3.9 min
  2800/3095  ok=2687 bad=113  4905 pts/h  eta 3.6 min
  2825/3095  ok=2709 bad=116  4910 pts/h  eta 3.3 min
  2850/3095  ok=2731 bad=119  4816 pts/h  eta 3.1 min
  2875/3095  ok=2756 bad=119  4719 pts/h  eta 2.8 min
  2900/3095  ok=2780 bad=120  4669 pts/h  eta 2.5 min
  2925/3095  ok=2804 bad=121  4655 pts/h  eta 2.2 min
  2950/3095  ok=2829 bad=121  4659 pts/h  eta 1.9 min
  2975/3095  ok=2853 bad=122  4661 pts/h  eta 1.5 min
  3000/3095  ok=2878 bad=122  4671 pts/h  eta 1.2 min
  3025/3095  ok=2902 bad=123  4683 pts/h  eta 0.9 min
  3050/3095  ok=2927 bad=123  4684 pts/h  eta 0.6 min
  3075/3095  ok=2950 bad=125  4688 pts/h  eta 0.3 min
  3095/3095  ok=2967 bad=128  4564 pts/h  eta 0.0 min

done: 2967 ok, 128 problematic, 40.7 min
inspect with: awk -F, '$15!="ok"' pes_grid.csv | head
basis    aug-cc-pVTZ
r grid   22 points, 0.7-3.4 A (morse)
          0.70- 0.93 A:   6 pts, step 0.0437 A
          0.93- 1.31 A:   5 pts, step 0.0710 A
          1.31- 2.39 A:   5 pts, step 0.1742 A
          2.39- 3.40 A:   6 pts, step 0.1800 A
theta    13 points, 55.0-175.0 deg
points   3289 computed / 6292 full grid (52%, r1>=r2 symmetry)
resume   3161 already in pes_grid.csv, 128 remaining
estimate 0.3 core-hours => 0.01 h on 30 procs at 9 s/point

  25/128  ok=25 bad=0  2832 pts/h  eta 2.2 min
  50/128  ok=50 bad=0  3334 pts/h  eta 1.4 min
  75/128  ok=75 bad=0  3426 pts/h  eta 0.9 min
  100/128  ok=100 bad=0  3466 pts/h  eta 0.5 min
  125/128  ok=116 bad=9  1634 pts/h  eta 0.1 min
  128/128  ok=116 bad=12  1502 pts/h  eta 0.0 min

done: 116 ok, 12 problematic, 5.1 min
inspect with: awk -F, '$15!="ok"' pes_grid.csv | head
