r1_A,r2_A,theta_deg,nbf,e_hf_Ha,e_ccsd_t_Ha,t1_diag,status,wall_s
0.8282758463094337,0.7491939040506499,55.0,92,-75.85328262279144,-76.1272427165799,0.008065348245332235,ok,8.93
0.6809285230878754,0.6809285230878754,55.0,92,-75.61338989927694,-75.87972608657837,0.006713663180727469,ok,9.22
0.8730626691931039,0.8282758463094337,55.0,92,-75.92847347727768,-76.2070542723393,0.009033853083621448,ok,9.27
0.65,0.65,55.0,92,-75.49521932167177,-75.7595752809912,0.006432604685839772,ok,9.31
0.7491939040506499,0.6809285230878754,55.0,92,-75.70490465468085,-75.97360708579379,0.007102790738129977,ok,9.31
0.6809285230878754,0.65,55.0,92,-75.55456731321891,-75.81992176774357,0.006573902932621797,ok,9.35
0.7871730137334912,0.65,55.0,92,-75.6814518338752,-75.9506468469024,0.0072329841450477425,ok,9.33
0.7491939040506499,0.7138970767665203,55.0,92,-75.75378404706221,-76.02356118300322,0.007273372114075871,ok,9.39
0.7138970767665203,0.7138970767665203,55.0,92,-75.71265795632635,-75.98119705227835,0.0070601046640265,ok,9.41
0.8282758463094337,0.6809285230878754,55.0,92,-75.76564826195428,-76.03739147478925,0.007691176966485848,ok,9.44
0.7491939040506499,0.65,55.0,92,-75.64706819161859,-75.9148227793106,0.006966497526719516,ok,9.51
0.7138970767665203,0.6809285230878754,55.0,92,-75.66327982917005,-75.93072621456935,0.006887728305768868,ok,9.53
0.7138970767665203,0.65,55.0,92,-75.60496603041803,-75.87144759848553,0.006749608422869125,ok,9.55
0.8282758463094337,0.65,55.0,92,-75.70862765578437,-75.97945587501019,0.007559580181339276,ok,9.55
0.8282758463094337,0.7138970767665203,55.0,92,-75.8136244914591,-76.0864061595591,0.007857482218835551,ok,9.55
0.7871730137334912,0.7871730137334912,55.0,92,-75.85987346799111,-76.13361838640763,0.008004532346867786,ok,9.57
0.7871730137334912,0.7138970767665203,55.0,92,-75.78726256036205,-76.05844509564189,0.00753574784812411,ok,9.6
0.7871730137334912,0.7491939040506499,55.0,92,-75.82739043496684,-76.09977184819678,0.007745456859198651,ok,9.62
0.7871730137334912,0.6809285230878754,55.0,92,-75.73885440641344,-76.00898049355466,0.0073671515612272484,ok,9.62
0.8730626691931039,0.6809285230878754,55.0,92,-75.78573922103669,-76.05932278407256,0.008087795412217927,ok,9.63
0.7491939040506499,0.7491939040506499,55.0,92,-75.79440595811278,-76.06540201556022,0.007484864469944218,ok,9.68
0.8730626691931039,0.8730626691931039,55.0,92,-75.9462728653002,-76.22657241302828,0.009429482294519858,ok,9.78
0.9222594660307525,0.65,55.0,92,-75.7430868823337,-76.01788197325973,0.008448661463796029,ok,9.94
0.8730626691931039,0.65,55.0,92,-75.72904394649493,-76.00172729116211,0.007959367661424908,ok,10.04
0.9222594660307525,0.6809285230878754,55.0,92,-75.79951433702566,-76.07519665138379,0.008573152061538206,ok,10.09
0.8282758463094337,0.8282758463094337,55.0,92,-75.9101680712923,-76.18699783085029,0.008641687638630016,ok,10.1
0.8730626691931039,0.7491939040506499,55.0,92,-75.87255598088093,-76.14831918852893,0.008457297517532832,ok,10.12
