r1_A,r2_A,theta_deg,nbf,ncas,nelecas,e_gs_casscf_Ha,e_ex_casscf_Ha,e_gs_nevpt2_Ha,e_ex_nevpt2_Ha,mu_x,mu_y,mu_z,mu_abs,status,wall_s
0.7784650775728821,0.7784650775728821,55.0,92,6,8,-75.85358666419523,-75.57440443071573,-76.09957820304383,-75.7854346181344,0.3628967225512938,4.613843697274471e-15,-1.2383440410971016e-15,0.3628967225512938,ok,80.8
0.738001992915057,0.738001992915057,55.0,92,6,8,-75.77559219923799,-75.48776642154138,-76.0210497920416,-75.69710490745257,0.3753262401554801,3.019931805634779e-15,-6.054189904461068e-16,0.3753262401554801,ok,88.4
0.7,0.7,55.0,92,6,8,-75.6768540573143,-75.3807272056032,-75.92129322966098,-75.58834937202195,0.3837304488540162,1.6382302914674782e-15,-8.163016951917318e-17,0.3837304488540162,ok,113.58
0.8217302352684964,0.8217302352684964,55.0,92,6,8,-75.91343251683007,-75.64324062425167,-76.15928080880062,-75.85599705883355,0.3453305288317412,3.6454429050648016e-15,-4.839705220977513e-16,0.3453305288317412,ok,164.03
0.8682146206261605,0.7,55.0,92,6,8,-75.82259682219635,-75.54999075731135,-76.06652839057712,-75.75991555827628,-0.36026360918248723,-2.9454302514851507e-15,3.7585945340659155e-15,0.36026360918248723,ok,169.11
0.9184360891594576,0.7,55.0,92,6,8,-75.84024033050756,-75.57661389572782,-76.08325914183776,-75.78738237776867,-0.3446449708302621,-2.4512615081919687e-15,1.6093111042482936e-15,0.3446449708302621,ok,174.52
0.8682146206261605,0.8682146206261605,55.0,92,6,8,-75.95754813107848,-75.69671432195261,-76.20230820766288,-75.91122727003446,0.321511644395286,1.4355765552777833e-15,7.473308921568239e-16,0.321511644395286,ok,185.48
0.8682146206261605,0.738001992915057,55.0,92,6,8,-75.869554802693,-75.59931982372468,-76.1140631323922,-75.81011632245863,-0.35601740482361643,-2.6085406231757287e-15,1.0589478214709676e-15,0.35601740482361643,ok,188.05
0.8682146206261605,0.7784650775728821,55.0,92,6,8,-75.90675414009083,-75.63922372722695,-76.15170614006783,-75.85106109810289,0.34881549326161193,1.6173508534936243e-15,1.610002685436891e-15,0.34881549326161193,ok,198.89
0.8682146206261605,0.8217302352684964,55.0,92,6,8,-75.93565442076928,-75.67113724532068,-76.180758005251,-75.88425256983204,0.33713837663238294,-2.782081024422035e-16,-1.2253791302016222e-15,0.33713837663238294,ok,217.94
