basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.3481740870435217,919.6453157758813,8.317246363145766e-30,8.723872197884437e-30,9.482799818825676e-30,1.0977002231505849e-29
cc-pvtz-dk,1.350175087543772,918.2823734775842,6.512528766566721e-30,7.21655962207153e-30,8.531822800300441e-30,1.1126339745709899e-29
cc-pvtz-dk,1.352176088044022,916.9234650447651,3.418702592403474e-30,4.2900944588530576e-30,5.91876005769753e-30,9.134430677837461e-30
cc-pvtz-dk,1.354177088544272,915.5685725954932,1.7207087692153757e-30,2.6031402145942387e-30,4.2749190944513334e-30,7.664619865793352e-30
cc-pvtz-dk,1.3561780890445223,914.217678353375,1.4416310598207606e-30,2.2494905582666217e-30,3.903926628218175e-30,7.74202604532925e-30
cc-pvtz-dk,1.3581790895447723,912.8707646467772,8.782207298546605e-31,1.4540270861570997e-30,2.7716762030392975e-30,6.32816621471055e-30
cc-pvtz-dk,1.3601800900450225,911.5278139080543,2.10322040194383e-31,4.769929392193302e-31,1.2693377408778211e-30,3.9962189524534924e-30
cc-pvtz-dk,1.3621810905452727,910.1888086727872,2.0812330218106957e-31,4.720063838085214e-31,1.2560678945981728e-30,3.9544418828122776e-30
cc-pvtz-dk,1.3641820910455227,908.8537315790246,1.6557576124084472e-31,3.755120906242418e-31,9.992845377656825e-31,3.1460183370513405e-30
cc-pvtz-dk,1.3661830915457729,907.5225653665324,8.9958876868546e-32,2.0401926990979972e-31,5.429207392182565e-31,1.7092615132073753e-30
cc-pvtz-dk,1.368184092046023,906.1952928760511,1.77044275407908e-30,1.760837177114453e-30,1.742595614441911e-30,1.705438646749967e-30
