r_obr_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.55,1.15,80.0,87,0.006378814103541857,-2679.8014288102554,-2680.3475698966067,-2680.3676726423223,3.5927333564264745,"A""",0.6319532690356744,2.1997179115299117,0.9504,ok,445.41
1.55,1.15,85.0,87,0.006193627613905084,-2679.8135965276274,-2680.3582742636127,-2680.378080850791,3.647028609427958,"A""",0.7041903108206977,2.1058342212687067,0.9503,ok,414.57
1.55,1.15,95.0,87,0.006039425831610157,-2679.831806418582,-2680.37426648129,-2680.3936930564437,3.73291840501065,"A""",0.8167185377313279,2.0395992148070143,0.9505,ok,252.33
1.55,1.15,100.0,87,0.006050382922332614,-2679.83779233088,-2680.3794374470235,-2680.398748538882,3.755135275384374,"A""",0.8497218890063639,2.0577572373689463,0.9506,ok,380.03
1.55,1.15,120.0,87,0.006369947603900718,-2679.8431659233324,-2680.3829275189905,-2680.402008983719,3.6606357938713843,"A""",0.8020264317982149,2.3624516092189833,0.9507,ok,366.97
1.55,1.15,115.0,87,0.006264605012265787,-2679.844304415048,-2680.384377029059,-2680.4034954357367,3.712528333160516,"A""",0.8405256663811139,2.260159227130584,0.9508,ok,383.91
1.55,1.15,110.0,87,0.0061725988965719136,-2679.843900750307,-2680.384374862284,-2680.40354008695,3.7456869265872403,"A""",0.8617633961307314,2.1726056876039666,0.9508,ok,410.35
1.55,1.25,115.0,87,0.00716149390074405,-2679.81961003604,-2680.3636932853715,-2680.3836168954076,3.2510404533236072,"A""",0.7505158431413764,2.2073473847440375,0.9424,ok,250.41
1.55,1.15,105.0,87,0.006098651056791197,-2679.8417817820973,-2680.3827724724247,-2680.401999615523,3.759787152785419,"A""",0.8649013509840229,2.1036760740823186,0.9507,ok,419.44
1.55,1.25,75.0,87,0.007124028705604303,-2679.765987002266,-2680.3172261811765,-2680.3384860148303,2.9434603518210465,"A""",0.40364907751872803,2.466194722704547,0.9447,ok,281.18
1.55,1.15,130.0,87,0.006606115032041391,-2679.837016332818,-2680.3763199542645,-2680.3953402788425,3.5044307393577356,"A""",0.6795750221425008,2.598046260209687,0.9504,ok,404.97
