basis,r_ox_A,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,w1_app,root0_sym,gap_any_eV,gap_app_eV,status,wall_s,omega1_eV,sym1,w1_1,omega2_eV,sym2,w1_2,omega3_eV,sym3,w1_3,omega4_eV,sym4,w1_4,omega5_eV,sym5,w1_5,omega6_eV,sym6,w1_6
cc-pvtz-dk,2.2,87,0.00833459885325895,-2679.86831643945,-2680.4241340936237,-2680.4495508470586,1.3026978750229448,0.9235,"A""",0.6231982192153143,1.5291009567311564,ok,334.35,1.3026978750229448,"A""",0.9235,1.925896094238259,A',0.9264,2.6429490101888,A',0.9584,2.831798831754101,"A""",0.9002,6.39487528643581,A',0.9106,7.5953219200432,"A""",0.0014
cc-pvtz-dk,2.25,87,0.008729132653456022,-2679.859921095689,-2680.418039910681,-2680.444399038175,1.153922869751462,0.9186,"A""",0.5738923555959597,1.38316057092247,ok,349.94,1.153922869751462,"A""",0.9186,1.7278152253474217,A',0.9245,2.2914874536869205,A',0.9543,2.537083440673932,"A""",0.8939,6.124207767758739,A',0.9062,7.14550646255095,"A""",0.0012
cc-pvtz-dk,2.0,87,0.007040362469594204,-2679.8991877302296,-2680.44674609772,-2680.4691222204906,2.0583002110677233,0.9394,"A""",0.7672674274986144,2.2896794619402985,ok,446.99,2.0583002110677233,"A""",0.9394,2.825567638566338,A',0.9418,4.347979673008021,"A""",0.9209,4.417546856481355,A',0.9605,7.841572442852108,A',0.9256,8.047107998260861,"A""",0.932
cc-pvtz-dk,1.6,87,0.005482583578334372,-2679.8894063070643,-2680.425246408611,-2680.4437881478934,4.080267615580441,0.9571,"A""",0.8991295014955015,3.161451419233289,ok,459.84,4.080267615580441,"A""",0.9571,4.979397117075942,A',0.9607,7.24171903481373,"A""",0.9462,8.328866867040299,A',0.9457,9.318307492353915,"A""",0.934,9.496847206617586,A',0.9493
cc-pvtz-dk,2.9,87,0.015868418631492853,-2679.763171835331,-2680.3581232820675,-2680.404331788611,0.20882224257781262,0.8301,A',0.2814441339178584,0.3807534575697236,warn:Ap_below+w1,463.96,-0.48257426496990224,A',0.9735,0.20882224257781262,"A""",0.8301,0.490266376495671,A',0.8067,0.5895757001475362,"A""",0.7991,3.9277766904645954,"A""",0.0006,3.931080418799643,A',0.001
cc-pvtz-dk,3.0,87,0.017020643017843694,-2679.7517679095113,-2680.352870229299,-2680.403036210847,0.16239015118780117,0.8149,A',0.24031886195011368,0.3145167595051873,warn:Ap_below+w1,465.06,-0.6649238770551554,A',0.9742,0.16239015118780117,"A""",0.8149,0.40270901313791485,A',0.7912,0.47690691069298846,"A""",0.7851,3.712905709394999,"A""",0.0005,3.713825503337417,A',0.0007
cc-pvtz-dk,3.1,87,0.018096594934228716,-2679.741300052271,-2680.34846468162,-2680.4026340581827,0.12889615182579972,0.8001,A',0.2059008590517206,0.26096581722015927,warn:Ap_below+w1,477.51,-0.8137591092357743,A',0.9747,0.12889615182579972,"A""",0.8001,0.33479701087752034,A',0.7766,0.389861969045959,"A""",0.7718,3.5382767391000884,A',0.0006,3.5388890782192455,"A""",0.0005
cc-pvtz-dk,3.2,87,0.019072948351050587,-2679.7317124426427,-2680.344789168744,-2680.4029292271416,0.10535813484159931,0.786,A',0.17713068079033467,0.2176858195037216,warn:Ap_below+w1,478.05,-0.935079855410771,A',0.9752,0.10535813484159931,"A""",0.786,0.282488815631934,A',0.7631,0.3230439543453209,"A""",0.7594,3.3963483885808072,A',0.0005,3.397923722092315,"A""",0.0005
cc-pvtz-dk,1.7,87,0.005766424746162504,-2679.910748461796,-2680.4488288519856,-2680.468153787864,3.603954000372448,0.9543,"A""",0.8803027447031169,3.800292578388723,ok,478.22,3.603954000372448,"A""",0.9543,4.484256745075565,A',0.9582,7.404246578761171,"A""",0.9433,7.975971632116496,"A""",0.9333,8.129025922422592,A',0.953,8.636097348122833,A',0.9398
cc-pvtz-dk,1.75,87,0.005934001709117678,-2679.9147842229,-2680.454172617458,-2680.4739232741663,3.33550220665898,0.9525,"A""",0.868091608607551,3.7596313337689824,ok,486.55,3.33550220665898,"A""",0.9525,4.203593815266531,A',0.9563,7.0951335404279625,"A""",0.9371,7.448228509912328,A',0.9547,7.712143412321276,"A""",0.9372,8.769794856756517,A',0.9368
cc-pvtz-dk,1.95,87,0.006779637699046197,-2679.9053631754573,-2680.4510896182005,-2680.4728570531784,2.2888041254343117,0.9426,"A""",0.7937138391252067,2.5348456959906507,ok,498.28,2.2888041254343117,"A""",0.9426,3.082517964559518,A',0.9454,4.823649821424962,"A""",0.9248,4.954374095249382,A',0.9597,7.987267551192503,"A""",0.9336,8.304731568443415,A',0.9286
cc-pvtz-dk,1.65,87,0.00561580189274033,-2679.90265368006,-2680.439549941496,-2680.4584727333145,3.856968360615401,0.9559,"A""",0.890632499275375,3.491758959395178,ok,504.2,3.856968360615401,"A""",0.9559,4.747600859890776,A',0.9596,7.348727320010579,"A""",0.9447,8.469416135098694,A',0.9434,8.62068789314056,"A""",0.9338,8.837344031029687,A',0.9504
cc-pvtz-dk,2.8,87,0.014670102223066693,-2679.775555995831,-2680.364340835523,-2680.4067194109025,0.27186872087414277,0.8454,A',0.33048737287708496,0.46254936820143705,warn:Ap_below+w1,507.75,-0.25985463081811955,A',0.9725,0.27186872087414277,"A""",0.8454,0.6023560937512278,A',0.8231,0.7344180890755799,"A""",0.8137,4.192940156782062,"A""",0.0006,4.199876790521611,A',0.0019
