==============================================================================
== HOX Phase 1 -- multireference outer shell of the a 3A" surface
==============================================================================
  r(O-Cl) 2.2-3.6 A, 15 points (overlaps the raster below 2.40)
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 7 points
  total   1050 geometries, CAS(10,6) SA-4 + SC-NEVPT2, def2-tzvp
  estimate 58 CPU-hours = 1.9 h on 30 workers at 200 s/point
  50 already in hocl_outer_shell.csv, 1000 to run

  790/1000  ok=762 warn=0 bad=28  25553 pts/h  eta 0.5 min
  800/1000  ok=772 warn=0 bad=28  25405 pts/h  eta 0.5 min
  810/1000  ok=780 warn=0 bad=30  25383 pts/h  eta 0.4 min
  820/1000  ok=787 warn=0 bad=33  25561 pts/h  eta 0.4 min
  830/1000  ok=795 warn=0 bad=35  25327 pts/h  eta 0.4 min
  840/1000  ok=805 warn=0 bad=35  25347 pts/h  eta 0.4 min
  850/1000  ok=815 warn=0 bad=35  25579 pts/h  eta 0.4 min
  860/1000  ok=825 warn=0 bad=35  25528 pts/h  eta 0.3 min
  870/1000  ok=835 warn=0 bad=35  25268 pts/h  eta 0.3 min
  880/1000  ok=845 warn=0 bad=35  25450 pts/h  eta 0.3 min
  890/1000  ok=855 warn=0 bad=35  25591 pts/h  eta 0.3 min
  900/1000  ok=865 warn=0 bad=35  25258 pts/h  eta 0.2 min
  910/1000  ok=875 warn=0 bad=35  25389 pts/h  eta 0.2 min
  920/1000  ok=885 warn=0 bad=35  25584 pts/h  eta 0.2 min
  930/1000  ok=893 warn=0 bad=37  25380 pts/h  eta 0.2 min
  940/1000  ok=903 warn=0 bad=37  25281 pts/h  eta 0.1 min
  950/1000  ok=913 warn=0 bad=37  25495 pts/h  eta 0.1 min
  960/1000  ok=923 warn=0 bad=37  25343 pts/h  eta 0.1 min
  970/1000  ok=931 warn=0 bad=39  25292 pts/h  eta 0.1 min
  980/1000  ok=941 warn=0 bad=39  25479 pts/h  eta 0.0 min
  990/1000  ok=951 warn=0 bad=39  25511 pts/h  eta 0.0 min
  1000/1000  ok=960 warn=0 bad=40  25553 pts/h  eta 0.0 min

done: 960 ok, 0 warned, 40 failed, 2.3 min
measured 4 CPU-s per point (was assuming 200)
-> the full 1050-point shell is 1 CPU-hours = 0.0 h on 30 workers
