r,ncas,nelecas,conv,e_cas_0,e_cas_1,e_cas_2,e_cas_3,e_nev_0,e_nev_1,e_nev_2,e_nev_3,s2_0,s2_1,s2_2,s2_3,w_0,w_1,w_2,w_3,dip_0,dip_1,wall,cpu,note
3.2,6,10,True,-536.1853602430372,-536.182775309189,-536.1806498611223,-536.0214791872256,-536.6440521736582,-536.6411954410421,-536.6392212399551,-536.4893900226369,1.9999999999999991,1.9999999999999993,2.0000000000000004,2.000000000000001,0.43967337192166034,0.5268919554349244,0.9556857626434297,0.9965808418416093,5.004831468648094,4.895666171203448,16.12880301475525,511.949475268,
3.225,6,10,True,-536.1853489910826,-536.1828844623155,-536.1808627656792,-536.0216635023085,-536.6439691162363,-536.6412413633475,-536.6393852067432,-536.4895094322029,1.9999999999999996,2.0000000000000013,1.9999999999999993,1.9999999999999998,0.44321974750652976,0.5286295956869369,0.9541753988353788,0.9968150412199352,5.079488442714842,4.970383790931531,17.23887610435486,546.286687678,
3.25,6,10,True,-536.1853356768711,-536.1829840492398,-536.1810596109927,-536.0218337227552,-536.6438869789322,-536.6412764008971,-536.6395443389474,-536.4896184884747,1.9999999999999991,1.9999999999999996,1.9999999999999998,2.0000000000000004,0.44660464146156154,0.530266690229857,0.9526446406535746,0.997031744957234,5.1536954698851085,5.044412659293967,18.348412036895752,583.118717914,
3.2750000000000004,6,10,True,-536.1853205503681,-536.1830748921983,-536.1812416559189,-536.0219909432658,-536.6438055437382,-536.6413050909963,-536.6396838302027,-536.4897181288073,1.9999999999999996,2.000000000000001,2.0,2.0,0.4498310945558633,0.5318066751479213,0.9510977489286813,0.9972324075462967,5.227373732409341,5.117702723223103,17.917402505874634,568.7684782659999,
3.3000000000000003,6,10,True,-536.1853038403902,-536.183157746165,-536.1814100620356,-536.0221361756335,-536.6437288406227,-536.6413462218964,-536.6398112691343,-536.4898091618875,2.0,1.9999999999999984,2.0,1.9999999999999984,0.4529018284529656,0.5332526692945194,0.9495382744942562,0.9974183542840713,5.300457777634827,5.190215106171524,17.973910808563232,571.6846520049999,
3.325,6,10,True,-536.1852857555587,-536.1832333034348,-536.1815659003487,-536.0222703537916,-536.6436596187929,-536.6413780601687,-536.6399280353806,-536.4898922994022,1.9999999999999998,2.0000000000000004,2.0,1.9999999999999987,0.45581988285163827,0.5346078233645482,0.9479696181521716,0.9975907994713148,5.372890211441923,5.261917051921229,18.53647470474243,586.9790131600002,
3.35,6,10,True,-536.1852664857116,-536.1833021986353,-536.1817101579993,-536.0223943386458,-536.6435963779022,-536.6414022058811,-536.6400350590447,-536.4899681673324,1.999999999999999,1.9999999999999987,2.0000000000000004,2.000000000000001,0.45858855834173173,0.5358752814617624,0.9463950623821195,0.9977508925601266,5.444621073647715,5.332781459637582,17.459646463394165,555.5120445359998,
3.375,6,10,True,-536.1852461753252,-536.1833649942648,-536.181843718932,-536.0225089989366,-536.6435376476716,-536.641420897963,-536.6401331309014,-536.4900373038416,1.9999999999999998,2.0000000000000004,1.9999999999999996,1.9999999999999996,0.461217570829017,0.537064502824596,0.9448166336955317,0.9978997686266912,5.515490012461062,5.402672774656168,18.080065488815308,574.760242376,
3.4000000000000004,6,10,True,-536.1852250568338,-536.183422270909,-536.1819674900589,-536.0226148755361,-536.6434796350997,-536.641438164934,-536.6402229352949,-536.4901001448147,2.0,2.0000000000000004,1.9999999999999996,1.9999999999999998,0.46369044608644167,0.5381584712856017,0.9432394886959505,0.9980379882624361,5.585835693036744,5.47193727595655,16.396335124969482,520.2926339810001,
3.4250000000000003,6,10,True,-536.1852032122172,-536.1834744789197,-536.1820821824099,-536.0227128019019,-536.6434216653455,-536.6414557405238,-536.6403046317675,-536.4901570135563,1.9999999999999991,2.000000000000001,1.9999999999999998,1.9999999999999993,0.466035391019585,0.5391838878206142,0.9416652392277981,0.9981657275414932,5.65521886201553,5.540167620104458,18.508463382720947,587.0294981960005,
3.45,6,10,True,-536.1851807741986,-536.1835220648253,-536.1821885171489,-536.0228033844149,-536.6433643721386,-536.6414698218057,-536.6403785443669,-536.4902082539422,1.9999999999999998,1.9999999999999993,2.0,2.0000000000000004,0.46824411290809964,0.5401326922007016,0.9400954410406637,0.9982849687344378,5.723790126671657,5.607524976530593,19.103760719299316,606.9498612409998,
3.475,6,10,True,-536.1851578663657,-536.1835654418393,-536.1822871518483,-536.0228871791822,-536.6433081929224,-536.641480404765,-536.6404506893489,-536.490254905753,1.9999999999999998,2.000000000000001,1.9999999999999998,1.9999999999999991,0.4703231422580033,0.5410097852564356,0.9385334675062268,0.9983960005263086,5.79151045523164,5.673986638562051,18.791916131973267,597.3014345580004,
3.5,6,10,True,-536.1851345933937,-536.1836049823795,-536.1823786882051,-536.0229647143827,-536.6432533452568,-536.6414883602555,-536.6405144845924,-536.4902987468674,1.9999999999999991,1.999999999999998,2.0,2.0,0.4722765571547736,0.5418182625267062,0.9369812003946018,0.9984994136317008,5.858367708680299,5.739555010802288,16.869762420654297,537.4255352549999,
3.5250000000000004,6,10,True,-536.1851110486994,-536.1836410257129,-536.1824636784953,-536.0230364776611,-536.6431999617199,-536.641494152558,-536.6405728536536,-536.4903397989568,2.0000000000000004,1.9999999999999996,2.0000000000000004,2.0000000000000004,0.4741087328738581,0.5425612181486318,0.9354407471037907,0.9985957645078182,5.924353051615612,5.8042345537334175,18.170618772506714,575.4168479660002,
3.5500000000000003,6,10,True,-536.1850873167725,-536.1836738822087,-536.1825426313719,-536.0231029179381,-536.643148181585,-536.6414980554944,-536.6406264040497,-536.4903773632562,2.0,1.9999999999999998,1.9999999999999996,1.9999999999999982,0.47582401056051027,0.5432416867720553,0.9339139555312385,0.9986855743507286,5.989461633316125,5.8680327445035045,18.091787815093994,575.7679061960007,
3.575,6,10,True,-536.1850634725607,-536.1837038342968,-536.1826160138887,-536.0231644476438,-536.6430981722215,-536.6415002537128,-536.6406756062756,-536.4904113530077,2.0000000000000004,2.000000000000001,2.0000000000000004,2.0,0.4774267276987438,0.5438626365179224,0.9324025155075926,0.9987693232844466,6.053692021661941,5.930959551373697,17.8449809551239,567.3538048040009,
3.6,6,10,True,-536.1850395836116,-536.1837311401047,-536.1826842560281,-536.023221446864,-536.6430500763249,-536.6415008844991,-536.6407209070013,-536.4904420868656,2.0000000000000004,2.0,2.0,2.0,0.4789211946155463,0.5444269617431063,0.9309079540384932,0.9988474527022831,6.117045777112515,5.993027058087225,17.933873653411865,569.4961942149985,
